127.0.0.1 - - [12/Apr/2022:09:45:37 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/ HTTP/1.1" 200 6051
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=EE6A6E2235326DE175C82DD821A61A68?ln=css HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=EE6A6E2235326DE175C82DD821A61A68?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=EE6A6E2235326DE175C82DD821A61A68?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=EE6A6E2235326DE175C82DD821A61A68?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js;jsessionid=EE6A6E2235326DE175C82DD821A61A68?ln=js HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=EE6A6E2235326DE175C82DD821A61A68?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=EE6A6E2235326DE175C82DD821A61A68?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=EE6A6E2235326DE175C82DD821A61A68?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:38 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [12/Apr/2022:09:45:42 -0300] "GET /Farmacia/faces/pages/produtos.xhtml;jsessionid=EE6A6E2235326DE175C82DD821A61A68 HTTP/1.1" 200 24830
