127.0.0.1 - - [05/May/2022:11:39:33 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/ HTTP/1.1" 200 11953
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/style.css;jsessionid=2663A108E39BEDA6CC756D53473443EB?ln=css HTTP/1.1" 200 259
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery.js;jsessionid=2663A108E39BEDA6CC756D53473443EB?ln=primefaces&v=4.0 HTTP/1.1" 200 105493
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.css;jsessionid=2663A108E39BEDA6CC756D53473443EB?ln=primefaces&v=4.0 HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=2663A108E39BEDA6CC756D53473443EB?ln=primefaces&v=4.0 HTTP/1.1" 200 220747
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.js;jsessionid=2663A108E39BEDA6CC756D53473443EB?ln=primefaces&v=4.0 HTTP/1.1" 200 277201
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 200 18614
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/layout/layout.js;jsessionid=2663A108E39BEDA6CC756D53473443EB?ln=primefaces&v=4.0 HTTP/1.1" 200 87653
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/scripts.js;jsessionid=2663A108E39BEDA6CC756D53473443EB?ln=js HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:34 -0300] "GET /Farmacia/faces/javax.faces.resource/primefaces.css;jsessionid=2663A108E39BEDA6CC756D53473443EB?ln=primefaces&v=4.0 HTTP/1.1" 200 53386
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:35 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_55_000000_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 3153
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:35 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_9fda58_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:35 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-bg_gloss-wave_85_9fda58_500x100.png?ln=primefaces-trontastic HTTP/1.1" 200 4381
0:0:0:0:0:0:0:1 - - [05/May/2022:11:39:35 -0300] "GET /Farmacia/faces/javax.faces.resource/images/ui-icons_b8ec79_256x240.png?ln=primefaces-trontastic HTTP/1.1" 200 4369
